# CALIFAID    GALAXY_NAME              X_CENTER      Y_CENTER      APERTURE(")  
  CALIFA219   NGC2639                  219.0720062   219.0720062   55.0         
  CALIFA220   UGC04546                 216.5059967   219.927002    55.0         
  CALIFA221   UGC04551                 218.572998    217.7189941   55.0         
  CALIFA222   UGC04559                 217.7200012   218.572998    55.0         
  CALIFA223   IC2393                   220.7830048   219.927002    55.0         
  CALIFA225   IC2407                   217.7200012   219.4259949   55.0         
  CALIFA226   UGC04659                 218.572998    221.1329956   55.0         
  CALIFA228   NGC2693                  221.1340027   216.0119934   55.0         
  CALIFA229   NGC2710                  218.2169952   216.5059967   55.0         
  CALIFA230   NGC2719                  217.7200012   210.0379944   55.0         
  CALIFA231   UGC04722                 220.7830048   219.0720062   55.0         
  CALIFA232   NGC2730                  219.0720062   222.4940033   55.0         
  CALIFA233   NGC2735                  222.8410034   221.1329956   30.0         
  CALIFA234   NGC2738                  113.6149979   93.6350021    50.0         
  CALIFA235   2MASXJ09043394+4517323   216.5059967   219.0720062   55.0         
  CALIFA236   UGC04773                 215.6499939   216.5059967   55.0         
  CALIFA237   IC2434                   219.0720062   216.5059967   55.0         
  CALIFA238   NGC2764                  220.7830048   216.5059967   50.0         
  CALIFA239   UGC04800                 221.6390076   216.5059967   55.0         
  CALIFA240   NGC2742A                 218.572998    217.7189941   55.0         
  CALIFA241   NGC2769                  220.7830048   221.6380005   55.0         
  CALIFA242   NGC2776                  219.427002    218.572998    65.0         
  CALIFA243   NGC2778                  219.427002    226.2550049   25.0         
  CALIFA244   UGC04845                 217.7200012   218.572998    55.0         
  CALIFA245   UGC04851                 220.7830048   219.927002    40.0         
  CALIFA246   NGC2783                  217.3609924   221.6380005   30.0         
  CALIFA247   UGC04869                 225.9160004   215.6499939   55.0         
  CALIFA248   NGC2794                  219.9279938   217.3609924   30.0         
  CALIFA249   NGC2795                  218.572998    218.572998    55.0         
  CALIFA250   NGC2796                  218.572998    217.7189941   55.0         
  CALIFA251   IC2450                   217.3609924   219.0720062   55.0         
  CALIFA252   UGC04906                 218.572998    217.7189941   55.0         
  CALIFA253   NGC2800                  217.3609924   219.0720062   55.0         
  CALIFA254   UGC04926                 219.9279938   217.3609924   55.0         
  CALIFA255   CGCG151-054              210.0379944   216.8659973   55.0         
  CALIFA256   UGC04938                 219.0720062   219.0720062   55.0         
  CALIFA257   NGC2826                  219.427002    217.7189941   55.0         
  CALIFA258   NGC2832                  222.4940033   218.2160034   20.0         
  CALIFA259   IC2461                   220.2799988   216.8659973   55.0         
  CALIFA260   NGC2805                  220.7830048   211.3730011   125.0        
  CALIFA261   UGC04958                 217.7200012   217.7189941   55.0         
  CALIFA262   UGC04970                 218.572998    214.3049927   25.0         
  CALIFA263   UGC04982                 217.3609924   215.6499939   55.0         
  CALIFA264   NGC2854                  216.8659973   219.427002    50.0         
  CALIFA265   NGC2860                  218.2169952   216.5059967   55.0         
  CALIFA266   NGC2872                  217.7200012   216.8659973   20.0         
  CALIFA267   NGC2874                  224.2050018   207.0950012   50.0         
  CALIFA268   UGC05020                 219.427002    216.8659973   55.0         
  CALIFA269   NGC2882                  216.8659973   217.7189941   55.0         
  CALIFA270   2MASXJ09283754+3832213   219.9279938   211.3730011   55.0         
  CALIFA271   NGC2894                  221.6390076   218.2160034   45.0         
  CALIFA272   NGC2880                  219.0720062   219.0720062   55.0         
  CALIFA273   IC2487                   219.9279938   215.6499939   55.0         
  CALIFA274   IC0540                   218.572998    217.7189941   55.0         
  CALIFA275   NGC2906                  217.7200012   217.7189941   55.0         
  CALIFA276   NGC2919                  217.3609924   217.3609924   55.0         
  CALIFA277   NGC2916                  219.427002    216.0119934   55.0         
  CALIFA278   UGC05108                 219.0720062   219.927002    55.0         
  CALIFA279   NGC2918                  221.1340027   221.9869995   55.0         
  CALIFA280   UGC05111                 216.8659973   218.572998    55.0         
  CALIFA281   UGC05113                 219.9279938   219.0720062   55.0         
  CALIFA282   NGC2927                  218.2169952   219.0720062   55.0         
  CALIFA283   NGC2929                  220.7830048   213.9389954   45.0         
  CALIFA284   NGC2939                  216.8659973   218.572998    55.0         
  CALIFA285   NGC2943                  245.0319977   69.2080002    55.0         
  CALIFA286   NGC2942                  219.427002    217.7189941   55.0         
  CALIFA287   UGC05145                 219.9279938   221.6380005   55.0         
  CALIFA288   NGC2954                  219.0720062   216.5059967   55.0         
  CALIFA289   UGC05164                 219.427002    215.1589966   55.0         
  CALIFA290   UGC05157                 221.1340027   215.1589966   55.0         
