Name,ID,W1_Flux_Jy,e_W1_Flux_Jy,W2_Flux_Jy,e_W2_Flux_Jy,W3_Flux_Jy,e_W3_Flux_Jy,W4_Flux_Jy,e_W4_Flux_Jy,W1_Vega_mag,e_W1_Vega_mag,W2_Vega_mag,e_W2_Vega_mag,W3_Vega_mag,e_W3_Vega_mag,W4_Vega_mag,e_W4_Vega_mag,W1_AB_mag,e_W1_AB_mag,W2_AB_mag,e_W2_AB_mag,W3_AB_mag,e_W3_AB_mag,W4_AB_mag,e_W4_AB_mag
IC1199,824,0.027794133673926698,0.0002559934314810698,0.016822842786746516,0.00015494410809017978,0.059990810651401195,0.0005525357852901793,0.06541225960395539,0.0018074075263574915,10.11690909090909,0.01,10.022727272727273,0.010000000000000002,6.806545454545456,0.01,5.2667573627653255,0.03,12.81590909090909,2.7089999999999996,13.361727272727274,3.3489999999999998,11.980545454545457,5.184,11.886757362765326,6.65
IC1256,856,0.02354795200083894,0.00021688465299068424,0.013864345943429368,0.00012769534517381172,0.050359885100713014,0.00046383168287117903,0.0436173374934762,0.0016069220977370973,10.296909090909093,0.01,10.232727272727274,0.01,6.996545454545455,0.010000000000000002,5.706757362765326,0.04,12.995909090909093,2.7089999999999996,13.571727272727275,3.3489999999999998,12.170545454545454,5.184,12.326757362765326,6.66
IC1528,5,0.03191193523408737,0.00029391978543440416,0.01967430439432312,0.00018120704005358264,0.10234926555437662,0.0009426715725775864,0.09368264666892456,0.001725698125536752,9.966909090909091,0.01,9.852727272727272,0.01,6.226545454545455,0.01,4.876757362765324,0.02,12.665909090909091,2.7089999999999996,13.191727272727272,3.3489999999999998,11.400545454545455,5.184,11.496757362765324,6.64
IC1602,3003,0.01570193379527689,0.00014462015475273597,0.008354094552864521,0.00015388810866310884,0.0025473271859583805,7.038525126439487e-05,0.000911295344632748,0.00015108012546236906,10.73690909090909,0.01,10.782727272727271,0.02,10.236545454545457,0.03,9.906757362765324,0.17999999999999997,13.43590909090909,2.7089999999999996,14.121727272727272,3.359,15.410545454545456,5.204000000000001,16.526757362765323,6.8
IC1652,37,0.030475661554149644,0.0002806912159748669,0.017294156565594836,0.0001592850684153751,0.006700153162111276,0.00018513207350225212,0.0014179442364902538,0.00027425472997769974,10.016909090909092,0.01,9.992727272727272,0.01,9.186545454545454,0.03,9.426757362765327,0.21000000000000002,12.715909090909092,2.7089999999999996,13.331727272727273,3.3489999999999998,14.360545454545456,5.204000000000001,16.046757362765327,6.83
IC1683,43,0.0401747462057222,0.00037002308691246017,0.02365371644913175,0.0002178587795587153,0.10329629164858349,0.0009513940052463749,0.21069738797763102,0.003881189317520609,9.716909090909091,0.01,9.652727272727272,0.01,6.216545454545457,0.010000000000000002,3.9967573627653237,0.02,12.415909090909091,2.7089999999999996,12.991727272727273,3.3489999999999998,11.390545454545457,5.184,10.616757362765323,6.64
IC1755,70,0.02108400652240429,0.0001941908764763094,0.011321380487821431,0.00020854753554697033,0.01563452641464611,0.00028799861966708623,0.017687202647137416,0.0009774309396495225,10.41690909090909,0.01,10.452727272727273,0.020000000000000004,8.266545454545454,0.02,6.686757362765325,0.06,13.11590909090909,2.7089999999999996,13.791727272727274,3.359,13.440545454545454,5.194,13.306757362765325,6.68
IC2095,141,0.004168244078671367,7.678189343607513e-05,0.0016822842786746518,7.747205404508989e-05,0.0025473271859583805,0.00025807925463611453,,,12.176909090909092,0.020000000000000004,12.522727272727273,0.049999999999999996,10.236545454545457,0.11000000000000001,,,14.875909090909092,2.719,15.861727272727274,3.389,15.410545454545456,5.284000000000001,,
IC2098,142,0.03435208817910325,0.00031639442461768043,0.020792149365519878,0.00019150277272140671,0.08357660597320324,0.0007697689881477396,0.0730565487059388,0.002018627039950658,9.886909090909093,0.009999999999999998,9.792727272727273,0.01,6.446545454545455,0.01,5.146757362765325,0.030000000000000006,12.585909090909093,2.7089999999999996,13.131727272727273,3.3489999999999998,11.620545454545455,5.184,11.766757362765325,6.65
IC2101,144,0.03531450652279595,0.0003252586251433238,0.02300908700790042,0.00021192152299117796,0.15349164147670413,0.0,0.19393632053352194,0.003572439045204822,9.856909090909092,0.01,9.682727272727274,0.010000000000000002,5.786545454545456,0.0,4.086757362765326,0.02,12.555909090909092,2.7089999999999996,13.021727272727274,3.3489999999999998,10.960545454545457,5.174,10.706757362765327,6.64
IC2247,186,0.039806421918589026,0.0003666306948606982,0.024997661701417533,0.00023023697277356876,0.10425208046735202,0.0009601971455909621,0.10657593505872412,0.001963201274704957,9.726909090909093,0.01,9.592727272727274,0.01,6.206545454545455,0.010000000000000002,4.736757362765324,0.019999999999999997,12.425909090909093,2.7089999999999996,12.931727272727274,3.3489999999999998,11.380545454545455,5.184,11.356757362765325,6.64
IC2341,197,0.026299842150237743,0.0002422304979329356,0.014517752437418558,0.00013371344138471178,0.007835825042828986,0.00021651184721912942,0.0063629593930725715,0.000586050217832614,10.176909090909092,0.01,10.182727272727274,0.01,9.016545454545456,0.029999999999999992,7.796757362765325,0.10000000000000003,12.875909090909092,2.7089999999999996,13.521727272727274,3.3489999999999998,14.190545454545457,5.204000000000001,14.416757362765324,6.72
IC2361,199,0.016141843853647468,0.0001486718761233849,0.00899289217753313,0.0001656551957671244,0.03785164258182217,0.0003486265118169696,0.04127234561616069,0.0015205294042987163,10.706909090909093,0.01,10.702727272727273,0.02,7.306545454545457,0.010000000000000002,5.7667573627653255,0.04000000000000001,13.405909090909093,2.7089999999999996,14.041727272727274,3.359,12.480545454545457,5.184,12.386757362765326,6.66
IC2378,3015,0.01958633335796248,0.00018039679686582567,0.010136765186175982,9.336305763547934e-05,0.0026673790176431856,7.370240596068361e-05,0.0004483933382417639,0.00010737623690906555,10.496909090909092,0.01,10.572727272727274,0.010000000000000002,10.186545454545454,0.03,10.676757362765326,0.26,13.195909090909092,2.7089999999999996,13.911727272727274,3.3489999999999998,15.360545454545456,5.204000000000001,17.296757362765327,6.88
IC2402,3017,0.011911134861689928,0.0001097056062926757,0.006514774478482073,0.00012000658078696702,0.0016675725231133514,6.143564213131635e-05,0.0016430816735355754,0.00019673343913884572,11.036909090909091,0.01,11.052727272727275,0.019999999999999997,10.696545454545456,0.04,9.266757362765327,0.13,13.735909090909091,2.7089999999999996,14.391727272727275,3.359,15.870545454545457,5.214,15.886757362765326,6.75
IC2407,225,0.014320333820141369,0.00013189514872382398,0.009951748370404858,0.0001833179795753761,0.023663813318860593,0.00021795177516560944,0.018692145446504993,0.0008608051092239787,10.836909090909092,0.01,10.592727272727274,0.019999999999999997,7.816545454545456,0.01,6.626757362765325,0.05,13.535909090909092,2.7089999999999996,13.931727272727274,3.359,12.990545454545456,5.184,13.246757362765326,6.67
IC2481,5017,0.009726422750930759,8.958366413780523e-05,0.005570566798500698,0.00010261363255804219,0.026429243398175574,0.00024342232747100152,0.024869047490791635,0.0006871571763510934,11.25690909090909,0.010000000000000002,11.222727272727273,0.02,7.696545454545455,0.01,6.316757362765325,0.029999999999999992,13.95590909090909,2.7089999999999996,14.561727272727273,3.359,12.870545454545455,5.184,12.936757362765325,6.65
IC2487,273,0.027539315524746328,0.0002536464695941616,0.016515791301637005,0.0001521160594006004,0.07080839176132442,0.000652169389314032,0.06246822295668692,0.0017260607875907487,10.126909090909091,0.01,10.042727272727273,0.01,6.626545454545456,0.01,5.316757362765324,0.029999999999999992,12.825909090909091,2.7089999999999996,13.381727272727273,3.3489999999999998,11.800545454545457,5.184,11.936757362765324,6.65
IC2604,1015,0.0035314506522795947,6.505172502866476e-05,0.001861655794193084,5.1439450559939835e-05,0.004635373467449015,8.538673477286579e-05,0.0067244868970146145,0.0004335436920387899,12.356909090909092,0.02,12.412727272727274,0.03,9.586545454545456,0.02,7.736757362765324,0.06999999999999999,15.055909090909092,2.719,15.751727272727274,3.3689999999999998,14.760545454545458,5.194,14.356757362765325,6.69
IC3065,1041,0.010279053865197705,9.467358480034825e-05,0.005519495535113519,0.00010167286511999666,0.0013743100758461118,6.328931787589547e-05,,,11.196909090909092,0.01,11.232727272727274,0.02,10.906545454545459,0.049999999999999996,,,13.895909090909091,2.7089999999999996,14.571727272727275,3.359,16.080545454545458,5.224,,
IC3586,1065,0.0057010275785180425,0.0001050168089363487,0.002923475013672862,8.077859983468436e-05,0.0007763985767025713,5.720716124598832e-05,,,11.836909090909092,0.02,11.922727272727272,0.03,11.526545454545454,0.08,,,14.535909090909092,2.719,15.261727272727272,3.3689999999999998,16.700545454545455,5.2540000000000004,,
IC3598,562,0.0183634020114106,0.0001691331829125237,0.010811834429397203,0.0001991613502803983,0.012885009128487408,0.00023735063953877846,0.010956179822843701,0.0007063710174147775,10.566909090909093,0.01,10.502727272727274,0.020000000000000004,8.476545454545457,0.02,7.206757362765325,0.06999999999999999,13.265909090909092,2.7089999999999996,13.841727272727274,3.359,13.650545454545458,5.194,13.826757362765324,6.69
IC3631,3028,0.008471360076581141,7.802410971888255e-05,0.0045071227527661685,8.302426930250935e-05,0.0026429243398175544,7.302669824130037e-05,0.003464648269456619,0.00028719530847786344,11.406909090909092,0.010000000000000002,11.452727272727273,0.020000000000000004,10.196545454545456,0.03,8.456757362765325,0.09000000000000001,14.105909090909092,2.7089999999999996,14.791727272727274,3.359,15.370545454545457,5.204000000000001,15.076757362765324,6.71
IC3652,1066,0.009374608543383548,8.634333553859834e-05,0.00476320624129854,8.774150148856175e-05,0.0005999081065140119,4.9728220676116136e-05,0.001628017810206921,0.00020992437429103093,11.296909090909093,0.010000000000000002,11.392727272727274,0.02,11.806545454545457,0.09000000000000001,9.276757362765323,0.14000000000000004,13.995909090909093,2.7089999999999996,14.731727272727275,3.359,16.980545454545457,5.264,15.896757362765324,6.76
IC3918,5042,0.00212790944327961,5.879631076004267e-05,0.0012528508915283859,4.615673258524099e-05,0.005129614526698101,9.449099153584605e-05,0.007649959777205946,0.0004227524002799631,12.906909090909092,0.03,12.842727272727274,0.04,9.476545454545457,0.02,7.596757362765326,0.06,15.605909090909092,2.7289999999999996,16.181727272727272,3.379,14.650545454545458,5.194,14.216757362765327,6.68
IC4215,615,0.022281947257251782,0.00020522431838971008,0.014517752437418558,0.00013371344138471178,0.024326785767611034,0.00022405797707584355,0.044428244340704796,0.0016367970100288633,10.356909090909092,0.01,10.182727272727274,0.01,7.786545454545455,0.01,5.686757362765325,0.04000000000000001,13.055909090909092,2.7089999999999996,13.521727272727274,3.3489999999999998,12.960545454545455,5.184,12.306757362765325,6.66
IC4534,786,0.03132947677385224,0.0002885551447631015,0.016515791301637005,0.0001521160594006004,0.006110612309190244,0.00011256163849765905,,,9.98690909090909,0.010000000000000002,10.042727272727273,0.01,9.286545454545456,0.020000000000000004,,,12.68590909090909,2.7089999999999996,13.381727272727273,3.3489999999999998,14.460545454545457,5.194,,
IC4566,807,0.030475661554149644,0.0002806912159748669,0.016978502634538303,0.0001563777882705921,0.04426747294854286,0.00040771849326332786,0.04051904041227562,0.0014927766149716668,10.016909090909092,0.01,10.012727272727272,0.009999999999999998,7.136545454545456,0.01,5.786757362765326,0.04000000000000001,12.715909090909092,2.7089999999999996,13.351727272727272,3.3489999999999998,12.310545454545457,5.184,12.406757362765326,6.66
IC5309,906,0.025116154267011078,0.00023132832963423402,0.015062580687632967,0.0001387314950134547,0.06457802080368756,0.0005947855521505215,0.05697169645180015,0.0015741861476699615,10.226909090909093,0.01,10.142727272727274,0.01,6.726545454545456,0.010000000000000002,5.416757362765324,0.03,12.925909090909093,2.7089999999999996,13.481727272727275,3.3489999999999998,11.900545454545457,5.184,12.036757362765325,6.65
IC5376,1,0.026543191593488703,0.0002444718291346078,0.015342614970293232,0.00014131070607257791,0.040745976518081366,0.0003752843125200784,0.018865101738850316,0.001042524049000627,10.16690909090909,0.01,10.122727272727271,0.01,7.226545454545457,0.010000000000000002,6.616757362765325,0.06000000000000001,12.86590909090909,2.7089999999999996,13.461727272727272,3.3489999999999998,12.400545454545458,5.184,13.236757362765324,6.68
IC701,5031,0.008164942711378286,7.520190148948011e-05,0.005033839755800086,9.272675505780852e-05,0.029517850618069295,0.00027186945124156576,0.031890340158967106,0.0008811626623265644,11.446909090909092,0.01,11.332727272727272,0.02,7.576545454545456,0.01,6.046757362765325,0.03,14.145909090909091,2.7089999999999996,14.671727272727273,3.359,12.750545454545456,5.184,12.666757362765324,6.65
KUG0210-078,82,0.02991941804295963,0.00027556802390710374,0.016668610037017365,0.00015352357196866847,0.025473271859583806,0.00023461750421464956,0.01704743925802978,0.0009420763082222603,10.036909090909091,0.01,10.032727272727271,0.01,7.736545454545456,0.01,6.7267573627653245,0.06,12.735909090909091,2.7089999999999996,13.371727272727272,3.3489999999999998,12.910545454545456,5.184,13.346757362765324,6.68
KUG1349+143,2663,0.00394414744488177,7.265388088924254e-05,0.002098453675488846,5.7982417818230184e-05,0.005835589451328009,0.00010749553023568942,0.0057498849068664095,0.0003707087796434975,12.23690909090909,0.02,12.282727272727271,0.03,9.336545454545456,0.02,7.906757362765324,0.07000000000000002,14.93590909090909,2.719,15.621727272727272,3.3689999999999998,14.510545454545458,5.194,14.526757362765323,6.69
LSBCF560-04,3009,,,,,,,,,,,,,,,,,,,,,,,,
MCG+07-17-002,3010,0.006729040495344444,0.0001239535066778671,0.0037835492052783522,6.969555198946723e-05,0.0008591811308254732,3.9566753280410034e-05,0.00010559884101300071,5.6410873579724215e-05,11.656909090909092,0.020000000000000004,11.642727272727274,0.02,11.416545454545455,0.049999999999999996,12.246757362765326,0.58,14.355909090909092,2.719,14.981727272727275,3.359,16.590545454545456,5.224,18.866757362765327,7.2
MCG+08-19-17,5024,0.0025116154267011076,6.939849889027019e-05,0.0015627855478970857,5.7575147298149796e-05,0.009163992615726762,8.440349115711983e-05,0.007373253262827062,0.00040746103319652725,12.726909090909093,0.029999999999999992,12.602727272727272,0.04,8.846545454545454,0.01,7.636757362765325,0.06,15.425909090909093,2.7289999999999996,15.941727272727272,3.379,14.020545454545456,5.184,14.256757362765324,6.68
MCG+09-18-064,3023,0.009461350728248996,8.714226058581799e-05,0.005127425824102407,9.445067414408729e-05,0.0012192274461912255,4.491799908110586e-05,0.0010272097942946178,0.0001608361812609782,11.286909090909091,0.01,11.312727272727273,0.02,11.036545454545458,0.04000000000000001,9.776757362765325,0.17,13.985909090909091,2.7089999999999996,14.651727272727273,3.359,16.210545454545457,5.214,16.396757362765324,6.79
MCG+09-22-53,5047,0.006193742442249547,0.00011409295213894675,0.0036466945363566837,6.717459582494187e-05,0.018970760033831708,0.00017472715702667246,0.014847698895731825,0.0005470094422812201,11.746909090909092,0.020000000000000004,11.682727272727274,0.02,8.056545454545457,0.010000000000000002,6.876757362765326,0.04,14.445909090909092,2.719,15.021727272727274,3.359,13.230545454545457,5.184,13.496757362765326,6.66
MCG+10-17-007,1027,0.004285022847443336,7.89330378532954e-05,0.002137466842083447,5.906039144820484e-05,0.004592876108056849,8.46039044830417e-05,0.003977948457789521,0.000329744333505773,12.14690909090909,0.02,12.262727272727272,0.03,9.596545454545454,0.020000000000000004,8.306757362765326,0.09000000000000001,14.84590909090909,2.719,15.601727272727272,3.3689999999999998,14.770545454545456,5.194,14.926757362765326,6.71
MCG-01-01-012,936,0.02910403083831139,0.00026805803021733927,0.01548457843873177,0.00014261823793728317,0.028189328495544407,0.0002596333103014113,0.026041089590441484,0.0011992364939254596,10.066909090909093,0.010000000000000002,10.112727272727273,0.01,7.626545454545457,0.01,6.266757362765326,0.049999999999999996,12.765909090909092,2.7089999999999996,13.451727272727274,3.3489999999999998,12.800545454545457,5.184,12.886757362765326,6.67
MCG-01-09-006,122,0.017216828043804883,0.00015857284640922786,0.010136765186175982,0.00018672611527095867,0.04678264050066212,0.00043088404251089647,0.03941478407114781,0.001452094307932866,10.636909090909093,0.01,10.572727272727274,0.020000000000000004,7.076545454545455,0.01,5.816757362765324,0.04,13.335909090909093,2.7089999999999996,13.911727272727274,3.359,12.250545454545456,5.184,12.436757362765324,6.66
MCG-01-10-015,129,0.014586568703256112,0.00013434726261620406,0.008126422283469223,0.00014969423047432695,0.03296740250879836,0.0003036409982859744,0.030736835418453536,0.0011323868646454804,10.816909090909093,0.01,10.812727272727273,0.02,7.456545454545455,0.009999999999999998,6.086757362765326,0.04000000000000001,13.515909090909092,2.7089999999999996,14.151727272727273,3.359,12.630545454545455,5.184,12.706757362765327,6.66
MCG-01-10-019,130,0.016594078563362258,0.00015283711172787995,0.010043830764340055,0.00018501419995619524,0.0361480380343735,0.00033293573407572086,0.032483225848040226,0.0011967262657609009,10.676909090909092,0.01,10.582727272727272,0.02,7.356545454545456,0.010000000000000002,6.026757362765326,0.04000000000000001,13.375909090909092,2.7089999999999996,13.921727272727273,3.359,12.530545454545457,5.184,12.646757362765326,6.66
MCG-01-33-007,1069,0.005648760243510343,0.00010405400904483467,0.002791896963476497,7.714296395131588e-05,0.0003389102708594023,3.1214789501737366e-05,,,11.84690909090909,0.020000000000000004,11.972727272727273,0.029999999999999992,12.426545454545456,0.1,,,14.54590909090909,2.719,15.311727272727273,3.3689999999999998,17.600545454545458,5.274,,
MCG-01-52-012,3039,0.01380235336383621,0.00012712437241522192,0.0072094043851389815,0.0001328021365326954,0.0025946855341733347,7.169381078393776e-05,0.001190307449649368,0.0001754101881371133,10.876909090909091,0.01,10.942727272727272,0.02,10.216545454545455,0.03,9.616757362765325,0.16,13.575909090909091,2.7089999999999996,14.281727272727272,3.359,15.390545454545457,5.204000000000001,16.236757362765324,6.78
MCG-01-54-016,878,0.004528487172558676,8.341781645878691e-05,0.0022382025508577747,8.245842925930176e-05,0.0034840528204592358,0.00012835724940149276,0.006132804939184102,0.0005083669883234004,12.086909090909092,0.02,12.212727272727275,0.04,9.896545454545455,0.04,7.836757362765327,0.08999999999999998,14.785909090909092,2.719,15.551727272727275,3.379,15.070545454545456,5.214,14.456757362765327,6.71
MCG-02-02-030,13,0.03944147444881773,0.000363269404446213,0.02238202550857775,0.00020614607314825445,0.07483154821262782,0.0006892240296002481,0.06362959393072572,0.0017581506534978413,9.73690909090909,0.01,9.712727272727275,0.010000000000000002,6.566545454545456,0.01,5.296757362765325,0.03,12.43590909090909,2.7089999999999996,13.051727272727275,3.3489999999999998,11.740545454545456,5.184,11.916757362765324,6.65
MCG-02-02-040,16,0.02991941804295963,0.00027556802390710374,0.019315207869475784,0.0001778996388333449,0.14390793142924638,0.0,0.15691308164541712,0.002890445781539961,10.036909090909091,0.01,9.872727272727271,0.01,5.856545454545455,0.0,4.3167573627653235,0.020000000000000004,12.735909090909091,2.7089999999999996,13.211727272727272,3.3489999999999998,11.030545454545456,5.174,10.936757362765324,6.64
MCG-02-02-086,3001,0.018028232151551436,0.00016604615442079325,0.009416714128638568,0.00017346228462071668,0.0030625608790118184,8.462168431679225e-05,0.000980977737839964,0.00015359736066823397,10.586909090909092,0.01,10.652727272727272,0.020000000000000004,10.036545454545456,0.03,9.826757362765324,0.17,13.285909090909092,2.7089999999999996,13.991727272727273,3.359,15.210545454545457,5.204000000000001,16.446757362765325,6.79
MCG-02-03-015,32,0.019950470481977657,0.00018375062372007797,0.01101284143885099,0.00020286403622884311,0.024103756455111716,0.000222003801194797,0.01643081673535577,0.0009080004883331348,10.476909090909093,0.01,10.482727272727274,0.020000000000000004,7.7965454545454556,0.010000000000000002,6.7667573627653255,0.059999999999999984,13.175909090909093,2.7089999999999996,13.821727272727275,3.359,12.970545454545455,5.184,13.386757362765326,6.68
MCG-02-06-016,1002,0.0017216828043804884,4.757185392276836e-05,0.0009076102384351723,4.179699610539199e-05,0.001549118821490115,5.7071646490234294e-05,0.0012931805132813537,0.00017865949034592203,13.136909090909093,0.03,13.192727272727275,0.049999999999999996,10.776545454545454,0.04,9.526757362765325,0.15,15.835909090909093,2.7289999999999996,16.531727272727274,3.389,15.950545454545455,5.214,16.146757362765324,6.7700000000000005
