# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA071   10.433  15.481   10.320  14.928    6.986  12.467    5.099   9.061   13.116  18.164   13.639  18.247   12.228  17.709   11.703  15.665
    CALIFA072    9.635  15.083    9.668  14.600    8.268  13.014    7.059  10.009   12.318  17.766   12.987  17.919   13.510  18.256   13.663  16.613
    CALIFA073    9.436  14.982    9.373  14.454    6.188  12.066    4.347   8.686   12.119  17.665   12.692  17.773   11.430  17.308   10.951  15.290
    CALIFA074    9.906  15.218    9.928  14.732    9.235  13.509    8.284  10.623   12.589  17.901   13.247  18.051   14.477  18.751   14.888  17.227
    CALIFA075    9.369  14.949    9.366  14.446    7.168  12.526    5.980   9.488   12.052  17.632   12.685  17.765   12.410  17.768   12.584  16.092
    CALIFA076    9.395  14.962    9.414  14.473    8.383  13.047    6.747   9.864   12.078  17.645   12.733  17.792   13.625  18.289   13.351  16.468
    CALIFA077    9.714  15.122    9.714  14.625    8.082  12.987    7.175  10.088   12.397  17.805   13.033  17.944   13.324  18.229   13.779  16.692
    CALIFA078    9.466  14.999    9.477  14.507    7.706  12.773    5.834   9.420   12.149  17.682   12.796  17.826   12.948  18.015   12.438  16.024
    CALIFA079    9.034  14.782    8.875  14.206    5.133  11.545    3.328   8.178   11.717  17.465   12.194  17.525   10.375  16.787    9.932  14.782
    CALIFA080    9.419  14.975    9.437  14.485    8.804  13.230    7.163  10.057   12.102  17.658   12.756  17.804   14.046  18.472   13.767  16.661
    CALIFA081   10.767  15.647   10.735  15.131    7.652  12.783    6.110   9.564   13.450  18.330   14.054  18.450   12.894  18.025   12.714  16.168
    CALIFA082   10.101  15.314   10.108  14.819    8.049  12.969    6.774   9.889   12.784  17.997   13.427  18.138   13.291  18.211   13.378  16.493
    CALIFA083   10.841  15.684   10.818  15.172    8.490  13.108    7.014   9.995   13.524  18.367   14.137  18.491   13.732  18.350   13.618  16.599
    CALIFA084    9.294  14.911    9.111  14.323    4.995  11.476    2.951   7.989   11.977  17.594   12.430  17.642   10.237  16.718    9.555  14.593
    CALIFA085    9.291  14.907    9.395  14.462    8.105  12.915    6.429   9.713   11.974  17.590   12.714  17.781   13.347  18.157   13.033  16.317
    CALIFA086    9.906  15.202    9.806  14.660    6.768  12.332    4.513   8.768   12.589  17.885   13.125  17.979   12.010  17.574   11.117  15.372
    CALIFA087    9.091  14.809    9.121  14.328    7.096  12.513    5.888   9.454   11.774  17.492   12.440  17.647   12.338  17.755   12.492  16.058
    CALIFA088   10.846  15.688   10.777  15.151    7.601  12.766    5.883   9.452   13.529  18.371   14.096  18.470   12.843  18.008   12.487  16.056
    CALIFA089   10.282  15.400   10.219  14.874    6.891  12.412    5.244   9.133   12.965  18.083   13.538  18.193   12.133  17.654   11.848  15.737
